     DEBUG |  520 | Backend              | 31/12/2025 12:31:08.944 | DOC[20251208-2230.adoc] COMPILE[True] REASON[Forced]
     DEBUG |  520 | Backend              | 31/12/2025 12:31:08.944 | DOC[20251214-0030.adoc] COMPILE[True] REASON[Forced]
     DEBUG |  520 | Backend              | 31/12/2025 12:31:08.944 | DOC[20251226-PyGTK4.adoc] COMPILE[True] REASON[Forced]
     DEBUG |  520 | Backend              | 31/12/2025 12:31:08.944 | DOC[20251228-KB4IT-incremental-compiling.adoc] COMPILE[True] REASON[Forced]
     DEBUG |  520 | Backend              | 31/12/2025 12:31:08.945 | DOC[20251231-1400-log_module.adoc] COMPILE[True] REASON[Forced]
     DEBUG |  520 | Backend              | 31/12/2025 12:31:08.945 | DOC[about_app.adoc] COMPILE[True] REASON[Forced]
     DEBUG |  520 | Backend              | 31/12/2025 12:31:08.945 | DOC[FIXME.adoc] COMPILE[True] REASON[Forced]
     DEBUG |  520 | Backend              | 31/12/2025 12:31:08.945 | DOC[TODO.adoc] COMPILE[True] REASON[Forced]
     DEBUG |  561 | Backend              | 31/12/2025 12:31:08.946 | STATS - Documents analyzed: 8
     DEBUG |  568 | Backend              | 31/12/2025 12:31:08.946 | STATS - Keep: 0 - Compile: 8
     DEBUG |  576 | Backend              | 31/12/2025 12:31:08.946 | [PREPROCESSING] - END
      INFO |  110 | Workflow             | 31/12/2025 12:31:08.946 | Backend processing
     DEBUG |  672 | Backend              | 31/12/2025 12:31:08.946 | [PROCESSING] - START
     DEBUG |  643 | Backend              | 31/12/2025 12:31:08.946 | KEY[Author] COMPILE[True]
     DEBUG |  652 | Backend              | 31/12/2025 12:31:08.946 | KEY[Author] VALUE[Tomás Vírseda] CHANGE[True]
     DEBUG |  657 | Backend              | 31/12/2025 12:31:08.946 | KEY[Author] VALUE[Tomás Vírseda] COMPILE[True]
     DEBUG |  661 | Backend              | 31/12/2025 12:31:08.946 | KEY[Author] COMPILE[True]
     DEBUG |  643 | Backend              | 31/12/2025 12:31:08.946 | KEY[Category] COMPILE[True]
     DEBUG |  652 | Backend              | 31/12/2025 12:31:08.946 | KEY[Category] VALUE[Bookmark] CHANGE[True]
     DEBUG |  657 | Backend              | 31/12/2025 12:31:08.946 | KEY[Category] VALUE[Bookmark] COMPILE[True]
     DEBUG |  652 | Backend              | 31/12/2025 12:31:08.947 | KEY[Category] VALUE[Post] CHANGE[True]
     DEBUG |  657 | Backend              | 31/12/2025 12:31:08.947 | KEY[Category] VALUE[Post] COMPILE[True]
     DEBUG |  661 | Backend              | 31/12/2025 12:31:08.947 | KEY[Category] COMPILE[True]
     DEBUG |  643 | Backend              | 31/12/2025 12:31:08.947 | KEY[Product] COMPILE[True]
     DEBUG |  652 | Backend              | 31/12/2025 12:31:08.947 | KEY[Product] VALUE[Github Actions] CHANGE[True]
     DEBUG |  657 | Backend              | 31/12/2025 12:31:08.947 | KEY[Product] VALUE[Github Actions] COMPILE[True]
     DEBUG |  652 | Backend              | 31/12/2025 12:31:08.947 | KEY[Product] VALUE[GNOME] CHANGE[True]
     DEBUG |  657 | Backend              | 31/12/2025 12:31:08.947 | KEY[Product] VALUE[GNOME] COMPILE[True]
     DEBUG |  652 | Backend              | 31/12/2025 12:31:08.947 | KEY[Product] VALUE[GTK] CHANGE[True]
     DEBUG |  657 | Backend              | 31/12/2025 12:31:08.947 | KEY[Product] VALUE[GTK] COMPILE[True]
     DEBUG |  652 | Backend              | 31/12/2025 12:31:08.947 | KEY[Product] VALUE[KB4IT] CHANGE[True]
     DEBUG |  657 | Backend              | 31/12/2025 12:31:08.947 | KEY[Product] VALUE[KB4IT] COMPILE[True]
     DEBUG |  652 | Backend              | 31/12/2025 12:31:08.947 | KEY[Product] VALUE[Libadwaita] CHANGE[True]
     DEBUG |  657 | Backend              | 31/12/2025 12:31:08.947 | KEY[Product] VALUE[Libadwaita] COMPILE[True]
     DEBUG |  652 | Backend              | 31/12/2025 12:31:08.947 | KEY[Product] VALUE[Mako] CHANGE[True]
     DEBUG |  657 | Backend              | 31/12/2025 12:31:08.948 | KEY[Product] VALUE[Mako] COMPILE[True]
     DEBUG |  652 | Backend              | 31/12/2025 12:31:08.948 | KEY[Product] VALUE[MiAZ] CHANGE[True]
     DEBUG |  657 | Backend              | 31/12/2025 12:31:08.948 | KEY[Product] VALUE[MiAZ] COMPILE[True]
     DEBUG |  652 | Backend              | 31/12/2025 12:31:08.948 | KEY[Product] VALUE[Pixi] CHANGE[True]
     DEBUG |  657 | Backend              | 31/12/2025 12:31:08.948 | KEY[Product] VALUE[Pixi] COMPILE[True]
     DEBUG |  652 | Backend              | 31/12/2025 12:31:08.948 | KEY[Product] VALUE[PyGObject] CHANGE[True]
     DEBUG |  657 | Backend              | 31/12/2025 12:31:08.948 | KEY[Product] VALUE[PyGObject] COMPILE[True]
     DEBUG |  652 | Backend              | 31/12/2025 12:31:08.948 | KEY[Product] VALUE[Pypi] CHANGE[True]
